Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedendia- Visitantes nacionales,Zona procedendia- Visitantes internacionales,Sexo,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Rango de Tiempo de estancia
991,11/26/2015,Noviembre,Alemania,No responde,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Alemán,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
992,11/26/2015,Noviembre,USA,No responde,Extranjero,N/A,Norteamerica,Masculino,21 - 45 años,Cultural,N/A,Inglés,N/A,Otra,N/A,Aéreo,N/A
993,11/26/2015,Noviembre,USA,No responde,Extranjero,N/A,Norteamerica,Masculino,21 - 45 años,Cultural,N/A,Inglés,N/A,Otra,N/A,Aéreo,N/A
994,11/27/2015,Noviembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
995,11/27/2015,Noviembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
996,11/27/2015,Noviembre,Belgica,Gante,Extranjero,N/A,Europa,Masculino,Más de 45 años,Turismo rural,N/A,Francés,N/A,Hotel,N/A,Terrestre particular,N/A
997,11/27/2015,Noviembre,Belgica,Gante,Extranjero,N/A,Europa,Masculino,Más de 45 años,Turismo rural,N/A,Francés,N/A,Hotel,N/A,Terrestre público,N/A
998,11/27/2015,Noviembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,21 - 45 años,Cultural,N/A,Otro,Neerlandés,Vivienda familiar o amigos,N/A,Aéreo,N/A
999,11/28/2015,Noviembre,Australia,Melbourne,Extranjero,N/A,Oceania,Femenino,21 - 45 años,Recreacional o vacacional,N/A,Inglés,N/A,Hostal,N/A,Terrestre público,N/A
1000,11/28/2015,Noviembre,España,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Negocios,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
1001,11/30/2015,Noviembre,Chile,Santiago de Chile,Extranjero,N/A,America Latina,Femenino,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
1002,11/30/2015,Noviembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,0 - 20 Años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1003,11/30/2015,Noviembre,Belgica,No responde,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Otro,Neerlandés,Hostal,N/A,Terrestre público,N/A
1004,11/30/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Femenino,Más de 45 años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
1005,11/30/2015,Noviembre,Francia,Cannes,Extranjero,N/A,Europa,Masculino,Más de 45 años,Cultural,N/A,Francés,N/A,Hotel,N/A,Aéreo,N/A
1006,11/30/2015,Noviembre,Colombia,Armenia,Nacional,Centro,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1007,11/30/2015,Noviembre,México,No responde,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1008,11/30/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Femenino,Más de 45 años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
1009,11/30/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
1010,11/30/2015,Noviembre,Colombia,Bucaramanga,Nacional,Centro,N/A,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,No responde,N/A,No responde,N/A
